symbol,company_name,sector,listed_date
IDV,Công ty Cổ phần Phát triển Hạ tầng Vĩnh Phúc,Real Estate,2010-06-01T00:00:00
IHK,Công ty Cổ phần In Hàng Không,Media,2010-03-04T00:00:00
IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,Real Estate,2010-04-19T00:00:00
ILA,Công ty Cổ phần ILA,Construction & Materials,2017-11-28T00:00:00
ILC,Công ty Cổ phần Hợp tác lao động với nước ngoài,Industrial Goods & Services,2018-08-10T00:00:00
IME,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Industrial Goods & Services,2009-12-01T00:00:00
IMP,Công ty Cổ phần Dược phẩm Imexpharm,Health Care,2006-12-04T00:00:00
ITD,Công ty Cổ phần Công nghệ ITD,Technology,2011-12-20T00:00:00
JOS,Công ty Cổ phần Chế biến Thủy sản Xuất khẩu Minh Hải,Food & Beverage,2017-07-28T00:00:00
JVC,Công ty Cổ phần Đầu tư Y tế - Dược phẩm Việt Nam,Health Care,2011-06-21T00:00:00
KDC,Công ty Cổ phần Tập đoàn KIDO,Food & Beverage,2005-12-12T00:00:00
KGM,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Retail,2017-09-21T00:00:00
KHX,Công ty Cổ phần Phát hành sách Khánh Hoà,Media,2026-01-15T00:00:00
KMR,Công ty Cổ phần Mirae,Personal & Household Goods,2008-06-30T00:00:00
KSQ,Công ty Cổ phần CNC Capital Việt Nam,Construction & Materials,2013-07-26T00:00:00
KST,Công ty Cổ phần KASATI,Technology,2010-12-29T00:00:00
KTT,Công ty Cổ phần Tập đoàn Đầu tư KTT,Construction & Materials,2010-10-28T00:00:00
L14,Công ty Cổ phần Licogi 14,Construction & Materials,2011-09-13T00:00:00
L61,Công ty Cổ phần Lilama 69-1,Industrial Goods & Services,2008-11-19T00:00:00
L62,Công ty Cổ phần Lilama 69 - 2,Industrial Goods & Services,2008-04-21T00:00:00
L63,Công ty Cổ phần Lilama 69-3,Industrial Goods & Services,2016-10-06T00:00:00
LAI,Công ty Cổ phần Đầu tư Xây dựng Long An IDICO,Construction & Materials,2015-08-10T00:00:00
LBM,Công ty Cổ phần Khoáng sản và Vật liệu xây dựng Lâm Đồng,Construction & Materials,2006-12-20T00:00:00
LDP,Công ty Cổ phần Dược Lâm Đồng - Ladophar,Health Care,2010-07-20T00:00:00
LG9,Công ty Cổ phần Cơ giới và Xây lắp số 9,Construction & Materials,2017-12-18T00:00:00
LHC,Công ty Cổ phần Đầu tư và Xây dựng Thủy lợi Lâm Đồng,Construction & Materials,2010-01-13T00:00:00
LM3,Công ty Cổ phần Lilama 3,Construction & Materials,2009-12-01T00:00:00
LMH,Công ty Cổ phần Quốc Tế Holding,Real Estate,2018-10-12T00:00:00
LSG,Công ty Cổ phần Bất động sản Sài Gòn Vi na,Real Estate,2022-05-12T00:00:00
LTC,Công ty Cổ phần Điện nhẹ Viễn Thông,Technology,2006-12-14T00:00:00
MA1,Công ty Cổ phần Thiết bị,Real Estate,2020-06-29T00:00:00
MAC,Công ty Cổ phần Tập đoàn Macstar,Industrial Goods & Services,2009-12-24T00:00:00
MBB,Ngân hàng Thương mại Cổ phần Quân đội,Banks,2011-11-01T00:00:00
MBT,Công ty Cổ phần Bất động sản cho thuê Minh Bảo Tín,Real Estate,2025-03-19T00:00:00
MCC,Công ty Cổ phần Gạch ngói cao cấp,Construction & Materials,2010-04-26T00:00:00
MCF,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Food & Beverage,2011-02-14T00:00:00
MCG,Công ty Cổ phần Năng lượng và Bất động sản MCG,Construction & Materials,2009-09-24T00:00:00
MCM,Công ty Cổ phần Giống bò sữa Mộc Châu,Food & Beverage,2020-12-18T00:00:00
MCO,Công ty Cổ phần Đầu tư và Xây dựng BDC Việt Nam,Construction & Materials,2006-12-21T00:00:00
MDA,Công ty Cổ phần Môi trường Đô thị Đông Anh,Industrial Goods & Services,2018-01-10T00:00:00
MEL,Công ty Cổ phần Thép Mê Lin,Basic Resources,2017-09-27T00:00:00
MES,Công ty Cổ phần Cơ điện Công trình,Construction & Materials,2016-12-12T00:00:00
MH3,Công ty Cổ phần Khu công nghiệp Cao su Bình Long,Real Estate,2017-03-06T00:00:00
MIC,Công ty Cổ phần Kỹ nghệ Khoáng sản Quảng Nam,Basic Resources,2007-12-21T00:00:00
MIG,Tổng Công ty Cổ phần Bảo hiểm Quân đội,Insurance,2017-05-05T00:00:00
MLC,Công ty Cổ phần Môi trường Đô thị Tỉnh Lào Cai,Industrial Goods & Services,2017-05-23T00:00:00
MML,Công ty Cổ phần Masan MEATLife,Food & Beverage,2019-12-09T00:00:00
MPC,Công ty Cổ phần Tập đoàn Thủy sản Minh Phú,Food & Beverage,2017-10-16T00:00:00
MPT,Công ty Cổ phần Tập đoàn MPT,Personal & Household Goods,2016-01-15T00:00:00
MQB,Công ty Cổ phần Môi trường và Phát triển đô thị Quảng Bình,Industrial Goods & Services,2017-11-08T00:00:00
MSB,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,Banks,2020-12-23T00:00:00
