Top_K,Min_Volume,Min_Close,Min_Buy_Probability,Min_Buy_Sell_Margin,Transaction_Cost_Rate,Slippage_Rate,Round_Trip_Cost_Rate,Eligible_Rows,Eligible_Symbols,Backtest_Days,Trade_Days,Average_Daily_Return,Average_Daily_Return_Net,Cumulative_Return,Cumulative_Return_Net,Benchmark_Cumulative_Return,Hit_Rate,Sharpe_Ratio,Sharpe_Ratio_Net
10,100000,10.0,0.6,0.0,0.001,0.001,0.004,26467,197,392,0,0.0,0.0,0.0,0.0,0.2372033685462569,0.0,0.0,0.0
10,100000,10.0,0.65,0.0,0.001,0.001,0.004,26467,197,392,0,0.0,0.0,0.0,0.0,0.2372033685462569,0.0,0.0,0.0
10,200000,5.0,0.55,0.0,0.001,0.001,0.004,26381,197,392,0,0.0,0.0,0.0,0.0,-0.039495994101378384,0.0,0.0,0.0
10,200000,5.0,0.6,0.0,0.001,0.001,0.004,26381,197,392,0,0.0,0.0,0.0,0.0,-0.039495994101378384,0.0,0.0,0.0
10,200000,5.0,0.65,0.0,0.001,0.001,0.004,26381,197,392,0,0.0,0.0,0.0,0.0,-0.039495994101378384,0.0,0.0,0.0
10,200000,10.0,0.55,0.0,0.001,0.001,0.004,22458,159,392,0,0.0,0.0,0.0,0.0,0.27001827109821885,0.0,0.0,0.0
10,200000,10.0,0.6,0.0,0.001,0.001,0.004,22458,159,392,0,0.0,0.0,0.0,0.0,0.27001827109821885,0.0,0.0,0.0
10,200000,10.0,0.65,0.0,0.001,0.001,0.004,22458,159,392,0,0.0,0.0,0.0,0.0,0.27001827109821885,0.0,0.0,0.0
20,50000,5.0,0.6,0.0,0.001,0.001,0.004,38898,282,392,0,0.0,0.0,0.0,0.0,-0.16059856797429284,0.0,0.0,0.0
20,50000,5.0,0.65,0.0,0.001,0.001,0.004,38898,282,392,0,0.0,0.0,0.0,0.0,-0.16059856797429284,0.0,0.0,0.0
20,50000,10.0,0.6,0.0,0.001,0.001,0.004,31255,225,392,0,0.0,0.0,0.0,0.0,0.13284328925088196,0.0,0.0,0.0
20,50000,10.0,0.65,0.0,0.001,0.001,0.004,31255,225,392,0,0.0,0.0,0.0,0.0,0.13284328925088196,0.0,0.0,0.0
20,100000,5.0,0.6,0.0,0.001,0.001,0.004,32062,245,392,0,0.0,0.0,0.0,0.0,-0.08498368206858609,0.0,0.0,0.0
20,100000,5.0,0.65,0.0,0.001,0.001,0.004,32062,245,392,0,0.0,0.0,0.0,0.0,-0.08498368206858609,0.0,0.0,0.0
20,100000,10.0,0.55,0.0,0.001,0.001,0.004,26467,197,392,0,0.0,0.0,0.0,0.0,0.2372033685462569,0.0,0.0,0.0
20,100000,10.0,0.6,0.0,0.001,0.001,0.004,26467,197,392,0,0.0,0.0,0.0,0.0,0.2372033685462569,0.0,0.0,0.0
