trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return
2025-06-02,"NVL,MML",2,0.05253766851704994,-0.007966977132123946,0.3614720106124878,0.004,0.04853766851704994,3.6077078436826353,1.8417686209871227,0.12111112704330096
2025-06-03,"APG,CSM,GEE",3,-0.02723060083991517,-0.012855913909758756,0.37347254157066345,0.004,-0.03123060083991517,3.4822371906043674,1.7530184795056778,0.1066982189107597
2025-06-04,"DBC,APG",2,-0.005420733709441461,-0.01361340062572523,0.3794533312320709,0.004,-0.009420733709441461,3.4579401763715465,1.7270830255130836,0.09163229268495088
2025-06-05,"NVL,VNP",2,-0.004677939248251772,-0.006634896910596111,0.36054080724716187,0.004,-0.008677939248251772,3.4370862030541396,1.7034175646927423,0.08438942495870849
2025-06-06,,0,0.0,0.0005245537338639003,0.0,0.0,0.0,3.4370862030541396,1.7034175646927423,0.0849582454805331
2025-06-09,NVL,1,0.03472222222222232,0.0201331225087973,0.35588645935058594,0.004,0.03072222222222232,3.591151696215742,1.7864725598746918,0.10680184275372251
2025-06-10,"DGW,GEE",2,0.052560646900269514,0.02318893617239683,0.40657901763916016,0.004,0.04856064690026951,3.8324655993861114,1.9217854699520567,0.1324674000408299
2025-06-11,"CTI,CTR",2,0.005570383000159829,0.013392126620232104,0.3818311393260956,0.004,0.0015703830001598286,3.8593842836097894,1.9263737921841835,0.1476335468554617
2025-06-12,"CTI,NVL,DGW",3,0.044745144329046006,0.013377319036651784,0.3610595166683197,0.004,0.04074514432904601,4.076818134730208,2.045609314707466,0.1629858069489114
2025-06-13,OIL,1,0.07773851590105996,0.020402292144692174,0.36482805013656616,0.004,0.07373851590105995,4.471482442023722,2.270188025588439,0.1867133831424137
2025-06-16,"DCL,CTI",2,-0.02475485305962588,0.004669940449527713,0.3721267580986023,0.004,-0.02875485305962588,4.3360366981531016,2.1761542494352955,0.19225526397234627
2025-06-17,"CTI,NVL",2,-0.0015578202576935762,-9.068582579134592e-06,0.36871495842933655,0.004,-0.005557820257693576,4.327724112088922,2.1585017550062244,0.19224445190702966
2025-06-18,"OIL,VOS",2,-0.036561246220276955,0.0022619117844643304,0.37518852949142456,0.004,-0.04056124622027696,4.132935879033133,2.03038898763424,0.19494120368276024
2025-06-19,"DGW,OIL",2,0.0005316535491466934,0.006958406655859911,0.4062979817390442,0.004,-0.0034683464508533067,4.135664822610763,2.019878548744274,0.20325609050782756
2025-06-20,"ANV,OIL,CTI",3,0.03569121397612093,0.006995777575550142,0.389830082654953,0.004,0.03169121397612093,4.318962934704201,2.115582166014426,0.21167380248344614
2025-06-23,ANV,1,0.19777647747220595,0.012951057639539252,0.35035407543182373,0.004,0.19377647747220594,5.370928687735225,2.719308703419927,0.22736625973972902
2025-06-24,DGW,1,0.018604651162790642,0.005710408227443857,0.3540244400501251,0.004,0.014604651162790642,5.489457593553555,2.773627909600106,0.23437502212743389
2025-06-25,"DGW,CTI",2,0.009111617312072995,0.01526224645430557,0.36096620559692383,0.004,0.005111617312072995,5.54858704770894,2.7929172513521405,0.2532143579321815
