symbol,date,volume,volume_rounded
FDC,2023-03-27 07:00:00,8681.001118568232,8681.0
FDC,2023-05-15 07:00:00,8681.001118568232,8681.0
FRT,2018-07-30 07:00:00,1422805.944723618,1422806.0
FRT,2022-07-19 07:00:00,1422805.944723618,1422806.0
FRT,2023-12-25 07:00:00,1422805.944723618,1422806.0
FTM,2017-06-15 07:00:00,999760.4544371649,999760.0
FTM,2017-09-18 07:00:00,999760.4544371649,999760.0
FTM,2020-03-10 07:00:00,999760.4544371649,999760.0
FTM,2020-03-27 07:00:00,999760.4544371649,999760.0
FTM,2021-11-15 07:00:00,999760.4544371649,999760.0
G20,2016-05-31 07:00:00,191122.2693032015,191122.0
GDA,2024-07-25 07:00:00,312555.97396630934,312556.0
GDA,2025-10-06 07:00:00,312555.97396630934,312556.0
GEE,2024-02-29 07:00:00,691797.4149043303,691797.0
GHC,2016-07-29 07:00:00,30641.33389261745,30641.0
GHC,2024-06-05 07:00:00,30641.33389261745,30641.0
GMC,2016-07-07 07:00:00,33396.89806678383,33397.0
GMC,2017-06-13 07:00:00,33396.89806678383,33397.0
GMC,2019-11-29 07:00:00,33396.89806678383,33397.0
GMC,2022-09-06 07:00:00,33396.89806678383,33397.0
GMC,2023-04-26 07:00:00,33396.89806678383,33397.0
GMC,2023-12-27 07:00:00,33396.89806678383,33397.0
GMC,2024-07-25 07:00:00,33396.89806678383,33397.0
GMH,2022-02-24 07:00:00,108026.29399585922,108026.0
GND,2024-07-23 07:00:00,4518.608441558442,4519.0
GSM,2017-08-14 07:00:00,37358.28817891374,37358.0
GSM,2022-09-12 07:00:00,37358.28817891374,37358.0
GSP,2018-10-22 07:00:00,163084.24207269915,163084.0
GSP,2018-12-18 07:00:00,163084.24207269915,163084.0
GTT,2019-05-03 07:00:00,603959.1553030303,603959.0
GTT,2021-08-27 07:00:00,603959.1553030303,603959.0
HAC,2018-01-26 07:00:00,39842.887970615244,39843.0
HAC,2022-01-21 07:00:00,39842.887970615244,39843.0
HAC,2022-07-28 07:00:00,39842.887970615244,39843.0
HAC,2023-04-18 07:00:00,39842.887970615244,39843.0
HAC,2024-05-21 07:00:00,39842.887970615244,39843.0
HAC,2026-01-26 07:00:00,39842.887970615244,39843.0
HAG,2021-12-09 07:00:00,19441751.338403042,19441751.0
HAG,2022-03-21 07:00:00,19441751.338403042,19441751.0
HAG,2025-11-03 07:00:00,19441751.338403042,19441751.0
HAP,2016-11-02 07:00:00,504144.6322234979,504145.0
HAP,2018-06-21 07:00:00,504144.6322234979,504145.0
HAP,2018-09-26 07:00:00,504144.6322234979,504145.0
HAP,2018-09-27 07:00:00,504144.6322234979,504145.0
HAP,2019-10-24 07:00:00,504144.6322234979,504145.0
HAP,2020-04-24 07:00:00,504144.6322234979,504145.0
HAP,2024-07-17 07:00:00,504144.6322234979,504145.0
HAP,2026-04-15 07:00:00,504144.6322234979,504145.0
HAS,2016-04-26 07:00:00,19014.47087378641,19014.0
HAS,2016-06-28 07:00:00,19014.47087378641,19014.0
HAS,2016-09-07 07:00:00,19014.47087378641,19014.0
HAS,2018-08-24 07:00:00,19014.47087378641,19014.0
HAS,2020-11-09 07:00:00,19014.47087378641,19014.0
HAS,2022-12-26 07:00:00,19014.47087378641,19014.0
HAV,2022-07-20 07:00:00,4257.902750491159,4258.0
HAV,2022-08-24 07:00:00,4257.902750491159,4258.0
HBH,2022-11-15 07:00:00,6730.151479289941,6730.0
HBS,2016-12-07 07:00:00,100301.54667905248,100302.0
HBS,2017-08-25 07:00:00,100301.54667905248,100302.0
HBS,2019-11-11 07:00:00,100301.54667905248,100302.0
HBS,2020-06-24 07:00:00,100301.54667905248,100302.0
HBS,2023-06-30 07:00:00,100301.54667905248,100302.0
HBS,2023-09-20 07:00:00,100301.54667905248,100302.0
HC3,2022-02-10 07:00:00,7319.534409515718,7320.0
HCD,2019-08-16 07:00:00,802545.737100737,802546.0
HCD,2021-05-06 07:00:00,802545.737100737,802546.0
HCD,2024-02-05 07:00:00,802545.737100737,802546.0
HCD,2025-03-26 07:00:00,802545.737100737,802546.0
HCD,2025-05-26 07:00:00,802545.737100737,802546.0
HDB,2024-05-16 07:00:00,9764467.852998067,9764468.0
HDB,2025-09-22 07:00:00,9764467.852998067,9764468.0
HDB,2025-12-02 07:00:00,9764467.852998067,9764468.0
HDG,2017-01-06 07:00:00,2899986.729083665,2899987.0
HDG,2017-11-23 07:00:00,2899986.729083665,2899987.0
HDG,2023-01-06 07:00:00,2899986.729083665,2899987.0
HEJ,2020-01-14 07:00:00,10224.601097178684,10225.0
HEJ,2020-08-21 07:00:00,10224.601097178684,10225.0
HEJ,2024-01-30 07:00:00,10224.601097178684,10225.0
HEP,2021-03-24 07:00:00,1684.0230769230768,1684.0
HEV,2021-04-29 07:00:00,2352.0756533700137,2352.0
HEV,2022-02-24 07:00:00,2352.0756533700137,2352.0
HEV,2023-01-04 07:00:00,2352.0756533700137,2352.0
HEV,2025-07-03 07:00:00,2352.0756533700137,2352.0
HHG,2016-03-03 07:00:00,486198.6342397549,486199.0
HHG,2018-04-19 07:00:00,486198.6342397549,486199.0
