time,open,high,low,close,volume,symbol
2018-07-12 07:00:00,,3.41,3.29,,,APG
2019-05-31 07:00:00,4.6,4.6,4.48,4.48,476730.0,APG
2019-11-07 07:00:00,5.67,5.74,5.56,,412340.0,APG
2020-06-30 07:00:00,,5.38,4.9,4.99,579560.0,APG
2021-07-16 07:00:00,7.01,7.01,6.81,,,APG
2021-12-01 07:00:00,18.06,18.27,,17.85,4844300.0,APG
2021-12-20 07:00:00,,,19.75,,,APG
2021-12-23 07:00:00,19.35,19.6,,,1793300.0,APG
2022-06-03 07:00:00,,,8.98,9.13,1194200.0,APG
2023-01-04 07:00:00,6.75,6.75,,6.23,1348400.0,APG
2023-05-26 07:00:00,7.42,7.5,7.42,7.5,887800.0,APG
2024-03-12 07:00:00,14.0,,,,424100.0,APG
2025-01-21 07:00:00,,7.14,7.0,7.06,,APG
2025-02-11 07:00:00,,8.59,8.21,,525800.0,APG
2025-08-29 07:00:00,13.1,13.35,12.8,,,APG
2025-09-23 07:00:00,,,11.45,,,APG
2026-03-05 07:00:00,10.3,10.3,10.05,,215600.0,APG
2016-03-01 07:00:00,8.01,8.44,8.29,,,APP
2016-04-27 07:00:00,,8.29,7.58,,1400.0,APP
2016-08-16 07:00:00,8.28,8.28,7.49,,9104.0,APP
2016-10-24 07:00:00,7.89,7.89,7.89,7.89,100.0,APP
2017-06-14 07:00:00,,9.13,9.13,,300.0,APP
2017-08-18 07:00:00,9.05,9.51,9.05,9.51,300.0,APP
2020-12-29 07:00:00,,,,3.6,,APP
2021-01-20 07:00:00,5.6,5.6,,5.6,11.0,APP
2021-03-01 07:00:00,4.5,4.5,,4.2,6704.0,APP
2021-05-06 07:00:00,,,,7.0,12400.0,APP
2021-06-03 07:00:00,7.3,,6.9,7.4,,APP
2021-07-12 07:00:00,6.9,6.9,6.8,,,APP
2022-06-16 07:00:00,9.0,,9.0,9.0,,APP
2023-04-14 07:00:00,,4.8,4.6,,201.0,APP
2023-05-23 07:00:00,4.3,4.3,4.2,4.2,14000.0,APP
2023-06-21 07:00:00,4.6,4.8,4.4,,16724.0,APP
2023-07-18 07:00:00,4.7,,,,24400.0,APP
2025-11-10 07:00:00,,,5.4,5.4,2500.0,APP
2026-01-05 07:00:00,4.9,,,5.1,6400.0,APP
2016-11-24 07:00:00,,19.3,19.3,,,ARM
2017-04-13 07:00:00,17.06,,17.06,17.12,300.0,ARM
2017-08-15 07:00:00,17.8,17.8,,,,ARM
2024-10-11 07:00:00,,24.53,24.53,24.53,1.0,ARM
2016-06-27 07:00:00,7.09,7.13,,7.04,,ASM
2019-08-08 07:00:00,3.1,,3.06,,1639420.0,ASM
2019-10-28 07:00:00,,,,,3835100.0,ASM
2019-11-06 07:00:00,3.69,3.72,,3.71,,ASM
2019-12-31 07:00:00,3.86,,,3.8,1879380.0,ASM
2020-06-10 07:00:00,,3.89,,,4759940.0,ASM
2020-06-26 07:00:00,3.35,3.41,3.28,,,ASM
2021-05-18 07:00:00,,,,7.05,2694800.0,ASM
2021-07-06 07:00:00,7.68,,,7.39,1662800.0,ASM
2021-07-15 07:00:00,6.57,6.91,,,,ASM
2021-09-27 07:00:00,,9.1,,8.39,8838000.0,ASM
2021-12-03 07:00:00,12.51,12.51,11.54,,,ASM
2023-03-09 07:00:00,7.11,,6.98,7.11,2507000.0,ASM
2023-09-27 07:00:00,8.26,8.26,7.82,8.25,3179500.0,ASM
2023-11-16 07:00:00,7.66,7.75,7.64,7.71,1336400.0,ASM
2023-12-21 07:00:00,,,8.18,8.3,2359400.0,ASM
2024-03-19 07:00:00,9.38,9.54,9.21,,,ASM
2024-06-06 07:00:00,9.96,10.08,,,3466300.0,ASM
2025-10-17 07:00:00,7.08,7.22,7.08,,662000.0,ASM
2025-12-18 07:00:00,6.67,6.71,,,195500.0,ASM
2026-02-04 07:00:00,6.32,6.37,6.26,,,ASM
2016-03-29 07:00:00,14.5,,,14.6,,ATS
2016-10-31 07:00:00,8.5,8.8,,8.8,,ATS
2018-08-16 07:00:00,38.1,,,,,ATS
2018-10-11 07:00:00,,35.6,,35.1,,ATS
2019-01-04 07:00:00,38.4,38.5,38.2,38.5,,ATS
2023-05-31 07:00:00,,,11.0,11.0,54.0,ATS
2023-10-10 07:00:00,11.0,11.0,11.0,11.0,200.0,ATS
